order_id,date,sku_id,supplier_id,ordered_qty,status,reason
OR00000001,2021-02-04,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000002,2021-03-09,10060,SUP001,96,executed,Harness approved.
OR00000003,2021-05-11,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000004,2021-06-01,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000005,2021-07-05,10060,SUP001,96,executed,Harness approved.
OR00000006,2021-07-17,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000007,2021-08-04,10060,SUP001,96,executed,Harness approved.
OR00000008,2021-08-16,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000009,2021-09-11,10060,SUP001,96,executed,Harness approved.
OR00000010,2021-09-28,10060,SUP001,96,executed,Harness approved.
OR00000011,2021-10-10,10060,SUP001,96,executed,Harness approved.
OR00000012,2021-10-27,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000013,2021-11-19,10060,SUP001,96,executed,Harness approved.
OR00000014,2021-12-08,10060,SUP001,96,executed,Harness approved.
OR00000015,2021-12-28,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000016,2022-01-15,10060,SUP001,96,executed,Harness approved.
OR00000017,2022-02-02,10060,SUP001,96,executed,Harness approved.
OR00000018,2022-02-20,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000019,2022-04-07,10060,SUP001,96,executed,Harness approved.
OR00000020,2022-04-28,10060,SUP001,96,executed,Harness approved.
OR00000021,2022-05-18,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000022,2022-06-08,10060,SUP001,96,executed,Harness approved.
OR00000023,2022-06-29,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000024,2022-07-20,10060,SUP001,96,executed,Harness approved.
OR00000025,2022-08-08,10060,SUP001,96,executed,Harness approved.
OR00000026,2022-08-30,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000027,2022-09-19,10060,SUP001,96,executed,Harness approved.
OR00000028,2022-10-11,10060,SUP001,96,executed,Harness approved.
OR00000029,2022-11-03,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000030,2022-11-26,10060,SUP001,96,executed,Harness approved.
OR00000031,2022-12-18,10060,SUP001,96,executed,Harness approved.
OR00000032,2023-01-09,10060,SUP001,96,executed,Harness approved.
