case_id,date,store_id,sku_id,severity,demand_anomaly_score,shrinkage_score,root_cause,agent_action,human_required
CASE00001,2026-01-01,STORE01,SKU010,0.375,0.151,0.558,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00002,2026-01-01,STORE01,SKU084,0.682,0.305,0.99,expired_disposal,Check disposal log before replenishment.,0
CASE00003,2026-01-01,STORE01,SKU100,0.636,0.707,0.578,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00004,2026-01-01,STORE02,SKU008,0.85,0.864,0.566,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00005,2026-01-01,STORE02,SKU027,0.47,0.264,0.638,expired_disposal,Check disposal log before replenishment.,0
CASE00006,2026-01-01,STORE02,SKU048,0.909,0.826,0.976,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00007,2026-01-01,STORE02,SKU059,0.922,0.505,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00008,2026-01-01,STORE02,SKU071,0.573,0.451,0.672,expired_disposal,Check disposal log before replenishment.,0
CASE00009,2026-01-01,STORE02,SKU079,0.459,0.315,0.577,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00010,2026-01-01,STORE02,SKU083,0.807,0.931,0.433,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00011,2026-01-01,STORE02,SKU089,0.7,0.807,0.612,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00012,2026-01-01,STORE02,SKU094,0.82,0.572,0.75,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00013,2026-01-01,STORE03,SKU053,0.794,0.935,0.406,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00014,2026-01-01,STORE03,SKU062,0.535,0.561,0.513,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00015,2026-01-01,STORE03,SKU096,0.652,0.808,0.525,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00016,2026-01-01,STORE04,SKU014,0.504,0.247,0.442,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00017,2026-01-01,STORE04,SKU091,0.613,0.455,0.742,expired_disposal,Check disposal log before replenishment.,0
CASE00018,2026-01-01,STORE05,SKU001,0.773,0.507,0.717,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00019,2026-01-01,STORE05,SKU016,0.63,0.221,0.692,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00020,2026-01-01,STORE05,SKU041,0.357,0.326,0.383,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00021,2026-01-01,STORE05,SKU093,0.768,0.707,0.546,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00022,2026-01-02,STORE01,SKU045,0.62,0.795,0.476,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00023,2026-01-02,STORE01,SKU100,1.02,0.935,0.816,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00024,2026-01-02,STORE03,SKU023,0.572,0.57,0.574,expired_disposal,Check disposal log before replenishment.,0
CASE00025,2026-01-02,STORE03,SKU061,0.703,0.387,0.689,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00026,2026-01-02,STORE03,SKU063,0.519,0.48,0.551,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00027,2026-01-02,STORE03,SKU086,0.809,0.722,0.88,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00028,2026-01-02,STORE04,SKU051,0.725,0.4,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00029,2026-01-02,STORE04,SKU063,0.468,0.148,0.729,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00030,2026-01-02,STORE05,SKU055,0.55,0.718,0.413,expired_disposal,Check disposal log before replenishment.,0
CASE00031,2026-01-02,STORE05,SKU067,0.544,0.566,0.253,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00032,2026-01-02,STORE05,SKU093,0.775,0.908,0.393,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00033,2026-01-03,STORE01,SKU014,0.531,0.123,0.864,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00034,2026-01-03,STORE01,SKU019,0.591,0.376,0.767,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00035,2026-01-03,STORE01,SKU021,0.69,0.394,0.932,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00036,2026-01-03,STORE01,SKU073,0.305,0.107,0.467,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00037,2026-01-03,STORE01,SKU079,0.8,0.908,0.439,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00038,2026-01-03,STORE01,SKU097,0.811,0.752,0.587,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00039,2026-01-03,STORE02,SKU003,0.606,0.696,0.532,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00040,2026-01-03,STORE02,SKU081,0.578,0.102,0.695,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00041,2026-01-03,STORE03,SKU039,0.447,0.413,0.474,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00042,2026-01-03,STORE03,SKU042,0.604,0.719,0.51,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00043,2026-01-03,STORE03,SKU081,0.386,0.464,0.323,expired_disposal,Check disposal log before replenishment.,0
CASE00044,2026-01-03,STORE04,SKU042,0.763,0.485,0.99,expired_disposal,Check disposal log before replenishment.,1
CASE00045,2026-01-03,STORE04,SKU085,0.417,0.344,0.476,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00046,2026-01-03,STORE05,SKU053,0.626,0.476,0.476,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00047,2026-01-03,STORE05,SKU073,0.576,0.618,0.541,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00048,2026-01-03,STORE05,SKU088,0.508,0.447,0.558,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00049,2026-01-04,STORE01,SKU033,0.887,0.428,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00050,2026-01-04,STORE02,SKU022,0.357,0.237,0.456,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00051,2026-01-04,STORE02,SKU077,0.761,0.737,0.78,expired_disposal,Check disposal log before replenishment.,1
CASE00052,2026-01-04,STORE03,SKU011,0.649,0.576,0.709,expired_disposal,Check disposal log before replenishment.,0
CASE00053,2026-01-04,STORE03,SKU039,0.6,0.415,0.751,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00054,2026-01-04,STORE03,SKU057,0.731,0.838,0.371,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00055,2026-01-04,STORE03,SKU058,0.32,0.17,0.442,misplacement,Check planogram slot and re-run vision after shelf correction.,0
