sku_id,sku_name,category,unit_price,shelf_life_days,slot_id,reference_image_url,openfoodfacts_hint
SKU001,빼빼로 오리지널,snack,4300,90,SLOT001,https://example.com/reference/SKU001.jpg,빼빼로+오리지널
SKU002,빼빼로 아몬드,snack,4000,180,SLOT002,https://example.com/reference/SKU002.jpg,빼빼로+아몬드
SKU003,꼬깔콘,snack,1500,365,SLOT003,https://example.com/reference/SKU003.jpg,꼬깔콘
SKU004,포카칩 오리지널,snack,2100,90,SLOT004,https://example.com/reference/SKU004.jpg,포카칩+오리지널
SKU005,새우깡,snack,4600,180,SLOT005,https://example.com/reference/SKU005.jpg,새우깡
SKU006,오예스,snack,3600,180,SLOT006,https://example.com/reference/SKU006.jpg,오예스
SKU007,초코파이,snack,1300,365,SLOT007,https://example.com/reference/SKU007.jpg,초코파이
SKU008,에너지바,snack,2000,180,SLOT008,https://example.com/reference/SKU008.jpg,에너지바
SKU009,ABC초콜릿,snack,2100,365,SLOT009,https://example.com/reference/SKU009.jpg,ABC초콜릿
SKU010,마이쮸,snack,2800,365,SLOT010,https://example.com/reference/SKU010.jpg,마이쮸
SKU011,허니버터칩,snack,2400,90,SLOT011,https://example.com/reference/SKU011.jpg,허니버터칩
SKU012,홈런볼,snack,2100,365,SLOT012,https://example.com/reference/SKU012.jpg,홈런볼
SKU013,몽쉘,snack,4400,365,SLOT013,https://example.com/reference/SKU013.jpg,몽쉘
SKU014,칙촉,snack,1700,90,SLOT014,https://example.com/reference/SKU014.jpg,칙촉
SKU015,프링글스,snack,3300,180,SLOT015,https://example.com/reference/SKU015.jpg,프링글스
SKU016,포스틱,snack,2300,365,SLOT016,https://example.com/reference/SKU016.jpg,포스틱
SKU017,자갈치,snack,1900,90,SLOT017,https://example.com/reference/SKU017.jpg,자갈치
SKU018,고래밥,snack,2200,180,SLOT018,https://example.com/reference/SKU018.jpg,고래밥
SKU019,쿠크다스,snack,4300,365,SLOT019,https://example.com/reference/SKU019.jpg,쿠크다스
SKU020,후렌치파이,snack,4200,365,SLOT020,https://example.com/reference/SKU020.jpg,후렌치파이
SKU021,코카콜라 500ml,drink,1500,90,SLOT021,https://example.com/reference/SKU021.jpg,코카콜라+500ml
SKU022,펩시 500ml,drink,2500,365,SLOT022,https://example.com/reference/SKU022.jpg,펩시+500ml
SKU023,삼다수 500ml,drink,1000,365,SLOT023,https://example.com/reference/SKU023.jpg,삼다수+500ml
SKU024,칠성사이다,drink,1600,180,SLOT024,https://example.com/reference/SKU024.jpg,칠성사이다
SKU025,몬스터,drink,2000,365,SLOT025,https://example.com/reference/SKU025.jpg,몬스터
SKU026,레드불,drink,2000,90,SLOT026,https://example.com/reference/SKU026.jpg,레드불
SKU027,커피캔,drink,1000,365,SLOT027,https://example.com/reference/SKU027.jpg,커피캔
SKU028,아이스티,drink,1700,365,SLOT028,https://example.com/reference/SKU028.jpg,아이스티
